name;ingredients;ingredients_amount;location;servings;time;file_path
Pasta al Limone;Pasta,Cheese,Butter,Garlic,Lemon,Cooking Cream,Sweet Basil,Salt;160g ,60g ,30g ,1 clove ,1 ,*3 tbsp ,Fresh , Turn off the heat, and add the parmesan and basil, along with ;1. Cook the pasta al dente according to package instructions. 2. Meanwhile, zest and juice the lemon. 3. Take a frying pan and melt the butter over medium heat. Fruit the garlic for a minute, and lower the heat. Add the lemon zest and keep the heat low until the pasta is done. 4. Drain the pasta, and add to the molten butter, and mix. Add the lemon juice, and mix. *Add the cooking cream*. 5. Turn off the heat, and add the parmesan and basil, along with Salt and Black Pepper.  > [!tip] Preferably serve with a salad or a meat side. It's not that much by itself. l;Italian;12;0;recipe-book-main\Recipes\European\Italian\Pasta al Limone.md
Pasta Carbonara;Pasta,Guanciale,Garden Peas,Cheese,Button Mushrooms,Black Pepper;250g ,300g ,*150g ,~100g ,*250g , Add most of the cheese and all of the eggs to a bowl. Add salt and ;1. Add most of the cheese and all of the eggs to a bowl. Add salt and Black Pepper to taste. 2. Mix thoroughly until smooth. --- 1. Add the bacon bits to a hot pan. Fry for a couple of minutes, then remove and set aside. 2. *Fry the mushrooms in the leftover bacon grease*. 3. Cook the pasta according to package instructions. *Add the peas ~3 minutes before the pasta is done.* 4. Drain and add the pasta *and peas* to the bacon pan. Re-add the bacon and mix all of the above with the sauce *and the mushrooms*. 5. Serve hot and garnish with the remaining cheese.  ;Italian;13;30 minutes;recipe-book-main\Recipes\European\Italian\Pasta Carbonara.md
Pasta Pesto Caprese;Cherry Tomatoes,Pasta,Spinach,Bacon,Pesto,Homemade Pesto,Garlic,Cheese,Olive Oil,Thyme,Oregano,Ground Chilli Pepper,Salt,Sweet Basil;250g ,200g ,100g ,*100g ,90g ,[!tip] Can also be ,3 cloves ,1 ball ,3 tbsp ,1 tsp dried ,1 tsp dried ,1 tsp , Take a small bowl and mix the olive oil, oregano, thyme, chilli pepper, , Serve hot, optionally garnished with ;1. Preheat the oven to 200C, and put water to boil. 2. Take a small bowl and mix the olive oil, oregano, thyme, chilli pepper, Salt, Black Pepper, and the garlic. 3. Place the cherry tomatoes in the oven dish, and cover in the dressing from step 2. Place in the oven for 10-15 minutes. 4. While doing this, cook the pasta al dente according to package instructions. 5. Drain the pasta, and mix with the pesto and spinach. Add this mixture to the oven dish, mixing it with the tomatoes, and add the bacon and mozzarella. Place back into the oven for ±15 minutes. 6. Serve hot, optionally garnished with Sweet Basil and more pepper. ;Italian;13;±45 minutes;recipe-book-main\Recipes\European\Italian\Pasta Pesto Caprese.md
Pasta Pesto;Pasta,Green Beans,Pesto,Homemade Pesto,Sweet Basil,Chicken Thigh Fillet,Vegetarian Chicken Bits,Chestnut Mushrooms,Vegan Parmesan;250g ,400g ,100g ,[!note] ,*,*~200g ,[!note] *or ~200g ,*~250g , Serve hot. *Garnish with fresh basil, and/or with a cheese like pecorino romano or your own ;1. *Cut the chicken into bite-sized pieces and slice the mushrooms.* 2. Add the pine tree nuts to a hot pan and let roast for a minute. Remove from pan when golden brown. 3. *Add olive oil to the pan and add the chicken. When brown, add the mushrooms and stir occasionally.* 4. Boil the pasta according to package instructions. Boil the green beans with the pasta for ~5 minutes. Strain *and add to the chicken/mushroom pan* and/or add back to the pot. 5. Add the pine tree nuts and pesto to the mix. 6. Serve hot. *Garnish with fresh basil, and/or with a cheese like pecorino romano or your own Vegan Parmesan.*   ;Italian;13;30 minutes;recipe-book-main\Recipes\European\Italian\Pasta Pesto.md
Pollo Al Marsala;Chicken Breast,Button Mushrooms,Flour,Marsala Wine,Garlic,Shallots,Chicken Broth,Corn Starch,Parsley,Salt,Oil;400g ,250g ,50g ,150ml ,3 cloves ,1 ,250ml ,2 tbsp ,*, Halve the chicken breasts and flatten, so that you have 4-6 thin pieces of chicken. Sprinkle with , Heat some ;1. Halve the chicken breasts and flatten, so that you have 4-6 thin pieces of chicken. Sprinkle with Salt and Black Pepper, and dust with the flour. 2. Heat some Oil or Butter in a frying pan, and fry the chicken until it is browned and fried through. Remove from the pan and set aside. 3. Dice the shallots and garlic, and slice the mushrooms. 4. In the chicken's frying liquid, fry the mushrooms. After some minutes, add the shallots. 5. Pour the marsala wine over the mixture and let reduce until approximately half the wine remains. 6. Add the chicken broth, and bring to a boil. Simmer for 5-10 minutes. 7. Add the corn starch to thicken the sauce, *and garnish with parsley.* ;Italian;12;0;recipe-book-main\Recipes\European\Italian\Pollo Al Marsala.md
Pollo Al Marsala;Chicken Breast,Button Mushrooms,Flour,Marsala Wine,Garlic,Shallots,Chicken Broth,Corn Starch,Parsley,Salt,Oil;400g ,250g ,50g ,150ml ,3 cloves ,1 ,250ml ,2 tbsp ,*, Halve the chicken breasts and flatten, so that you have 4-6 thin pieces of chicken. Sprinkle with , Heat some ;1. Halve the chicken breasts and flatten, so that you have 4-6 thin pieces of chicken. Sprinkle with Salt and Black Pepper, and dust with the flour. 2. Heat some Oil or Butter in a frying pan, and fry the chicken until it is browned and fried through. Remove from the pan and set aside. 3. Dice the shallots and garlic, and slice the mushrooms. 4. In the chicken's frying liquid, fry the mushrooms. After some minutes, add the shallots. 5. Pour the marsala wine over the mixture and let reduce until approximately half the wine remains. 6. Add the chicken broth, and bring to a boil. Simmer for 5-10 minutes. 7. Add the corn starch to thicken the sauce, *and garnish with parsley.* ;Italian;12;0;recipe-book-main\Recipes\European\Italian\Pollo Al Marsala.md
Pomodori alla Lucani;Tomatoes,Bread Crumbs,Olive Oil,Garlic,Capers,Parsley,Pine Tree Nuts,Walnuts,Lemon,Anchovy,White Wine;6 medium ,200g ,,6 cloves ,*1 tbsp ,~30g ,5 tbsp , *,1 ,*2 ,*60ml ;1. Preheat the oven to 190 degrees Celcius. 2. Add to a frying pan on medium low heat the olive oil *and anchovies. Sautee until the ancovies melt into the oil.* Stir the garlic in. 3. Add in the bread crumbs and toast until golden brown. Mix in the pine nuts *and capers*. 4. Stir in the parsley and lemon zest. 5. Slice the top off the tomatoes and scoop out the insides. *Reserve the insides in a bowl. Smash te combined insides to a pulp.* 6. Sprinkle the hollowed-out tomatoes with salt, and fill them with the bread crumb mixture *and some tomato pulp*. Cover with the cut-off tops. 7. Place in a lightly oiled baking dish, with 60ml of water *or the white wine*. 8. Bake in the oven for ~30 minutes.  9. Serve hot.  %%Stuffed Tomatoes%%;Italian;13;40 minutes;recipe-book-main\Recipes\European\Italian\Pomodori alla Lucani.md
Pomodori alla Lucani;Tomatoes,Bread Crumbs,Olive Oil,Garlic,Capers,Parsley,Pine Tree Nuts,Walnuts,Lemon,Anchovy,White Wine;6 medium ,200g ,,6 cloves ,*1 tbsp ,~30g ,5 tbsp , *,1 ,*2 ,*60ml ;1. Preheat the oven to 190 degrees Celcius. 2. Add to a frying pan on medium low heat the olive oil *and anchovies. Sautee until the ancovies melt into the oil.* Stir the garlic in. 3. Add in the bread crumbs and toast until golden brown. Mix in the pine nuts *and capers*. 4. Stir in the parsley and lemon zest. 5. Slice the top off the tomatoes and scoop out the insides. *Reserve the insides in a bowl. Smash te combined insides to a pulp.* 6. Sprinkle the hollowed-out tomatoes with salt, and fill them with the bread crumb mixture *and some tomato pulp*. Cover with the cut-off tops. 7. Place in a lightly oiled baking dish, with 60ml of water *or the white wine*. 8. Bake in the oven for ~30 minutes.  9. Serve hot.  %%Stuffed Tomatoes%%;Italian;13;40 minutes;recipe-book-main\Recipes\European\Italian\Pomodori alla Lucani.md
Spicy Cheese Pasta Alla Lucy;Pasta,Minced Meat,Lemon,Ground Chilli Pepper,Ground Fennel Seed,Fennel Seed,White Wine,Parsley,Cheese,Vegan Parmesan,Garden Peas,Button Mushrooms;250g ,300g ,1 ,,,*Unground ,250ml ,1 bushel ,~100g ,[!note] ,*~200g ,*~250g ;1. *Slice the mushrooms into slices or chunks.* 2. Fry the meat without oil in a hot pan. Put on water to boil. 3. Add ground chilli pepper, ground fennel seed, *unground fennel seed*, salt and pepper, to taste. 4. Add lemon juice *and lemon zest*. Mix thoroughly. 5. Add the wine. The meat should **almost** be submerged in the wine. Put on high heat. 6. *Add the mushrooms to the meat. Mix.* 7. Boil the pasta according to package instructions. 8. Finely cut the parsley. 9. *Add the peas to the pasta ~3 minutes before the pasta is done.* 10. Drain the pasta *and peas*. 11. Add the parsley and half of the cheese. Mix. 12. Add the pasta *and peas*, along with the remaining cheese.  ;Italian;13;40 minutes;recipe-book-main\Recipes\European\Italian\Spicy Cheese Pasta Alla Lucy.md
Spinach Pasta with Caramelised Onion;Yellow Onion,Pasta,Spinach à La Crème,Cheese,Salt;3 medium ,300g ,450g ,175g , Drain the pasta, and return to the pan. Add the spinach and most of the cheese. Stir until the cheese is melted. Add ;1. Cut the onions in half rings. Heat the oil on medium heat in a pan, and boil water for the pasta. 2. Caramelise the onion in 15 minutes and cook the pasta in the meantime. 3. Drain the pasta, and return to the pan. Add the spinach and most of the cheese. Stir until the cheese is melted. Add Salt and Black Pepper to taste. 4. Mix in the caramellised onion, or use as garnish. Add the rest of the cheese on top of the servings, and serve hot.  ;Italian;13;~20 minutes;recipe-book-main\Recipes\European\Italian\Spinach Pasta with Caramelised Onion.md
Tavern Noodles;Olive Oil,Yellow Onion,Rosemary,Garlic,White Wine,Pasta,Cheese,Parsley,Egg,Salt,Black Pepper;1/3 cup ,3 large ,1 1/2 tsp ,4 cloves ,1/2 cup ,12 oz ,3/4 cup ,1/3 cup ,3 hard-boiled , In a nonstick skillet over medium heat, warm 3 tbsp of olive oil until shimmering. Add the onions and some , Remove from heat, and add the remaining olive oil, garlic, parmesan, and salt and ;1. In a nonstick skillet over medium heat, warm 3 tbsp of olive oil until shimmering. Add the onions and some Salt, and caramelise the onions by cooking for 30 minutes and stirring frequently. 2. Add the rosemary/thyme and half of the garlic and cook until fragrant (±40 seconds). Add the wine, adjust the heat to medium-high, and cook until the liquid is reduced by half (±2 1/2 minutes) 3. While the onions are cooking, bring 4 quarts of water to a boil in a large pot. Add the salt and the pasta, and cook until just barely al dente, stirring occasionally to prevent sticking. Drain and return to pot, reserving a cup of cooking liquid. 4. Adjust the heat to medium-low, and add the onion mixture to the pasta. Toss and cook for ± 1 minute.  5. Remove from heat, and add the remaining olive oil, garlic, parmesan, and salt and Black Pepper to taste. Toss well. > [!note] If the sauce is too thick, add some of the earlier-reserved cooking liquid to loosen it up. 6. Add (most of) the parsley and toss. Sprinkle with the chopped egg and remaining parsley for garnish before serving. ;Italian;14;0;recipe-book-main\Recipes\European\Italian\Tavern Noodles.md
Tiramisu;Savoiardi,Mascarpone,Egg,Granulated Sugar,Espresso,Marsala Wine,Cocoa Powder,Casserole Dish,Chocolate Chips;300g ,500g ,4 ,100g ,300ml ,*2 tbsp ,*,Requirements: 3 bowls, , *Finally, sprinkle with cocoa powder for decoration. If wanted, ;1. To the freshly made espresso, add the marsala wine/rum. > [!Warning] If making the tiramisu alcohol-free or generally for children, do not do this step. 2. Separate the egg whites from the yolks. Set aside the yolks, and whip the whites until they are stiff. The egg whites should not move when turning the bowl over. 3. In another bowl, add the egg yolks and the sugar, and beat until light and smooth. 4. In the meantime, pour the mascarpone cheese into a bowl and work it with a spoon to make it softer. When the yolks are ready, add the mascarpone. 5. Slowly whip the mascarpone cream for 2 to 3 minutes. Then, add the egg whites. 6. Using a wooden spoon, mix until smooth and creamy. 7. Dip the savoiardi into the coffee for about a second. Then arrange them in a casserole dish, covering the bottom. Spread the mascarpone over the savoiardi. Repeat until you run out of savoiardi or mascarpone. > [!hint] It is important that the savoiardi does not soak up too much espresso. If they do, they will make the tiramisu much more runny, like a tiramisoup. 8. *Finally, sprinkle with cocoa powder for decoration. If wanted, Chocolate Chips can also be added as decoration.* 9. Allow to stiffen in the fridge for 3 hours before serving - though, preferably, let it rest overnight. ;Italian;18;30 min prep, 3 hours cooling;recipe-book-main\Recipes\European\Italian\Tiramisu.md
Vegetarian Lasagna;Olive Oil,Vegetarian Mince,Passata Basilico,Pasta,Cheese;2 tbsp ,375g ,690g ,250g ,175g ;1. Heat the oil in a pan, and stirfry the vegetables for 3 minutes on medium heat. 2. Add the mince, and fry for another 2 minutes.  3. Add the passata and cook on low for 15 minutes. 4. Preheat the oven to 200°C. 5. Put a scoop of sauce (the mixture from the previous steps) on the bottom of the oven dish, and then proceed to layer with lasagna sheets and sauce. 6. On top of the lasagna, add the cheese. 7. Put in the oven for 30 minutes.  ;Italian;13;~50 minutes;recipe-book-main\Recipes\European\Italian\Vegetarian Lasagna.md
Vegetarian Penne ai Funghi;Chestnut Mushrooms,Oyster Mushrooms,Olive Oil,Pasta,Yellow Onion,Garlic,Thyme,Parsley,Lemon,Crème Fraîche,Salt;400g ,150g ,2 tbsp ,300g ,2 ,2 cloves ,2 sprigs ,15g ,1 ,120g , Add ;1. Slice the mushrooms into slices and tear the oyster mushrooms into smaller pieces. 2. Dice the onions and garlic, and de-leaf the thyme. Cut the parsley, and zest the lemon. 3. Heat the oil in a pan and fry the mushrooms on medium high heat for 10 minutes. Turn the heat up to high, and fry for 5 more minutes. 4. Cook the pasta according to package instructions. Add the onion, garlic and thyme to the mushrooms and simmer for 5 minutes on low heat.  5. Drain the pasta and reserve 100ml (per 3 people) of cooking liquid. 6. Add the pasta, the crème fraîche, the cooking liquid, half of the parsley and half of the lemon zest. 7. Add Salt and Black Pepper to taste. 8. When serving, garnish with the remaining parsley and the rest of the lemon zest. Additionally, you can add lemon slices for garnish.  ;Italian;13;35 minutes;recipe-book-main\Recipes\European\Italian\Vegetarian Penne ai Funghi.md
Burek Sa Mesom;White Onion,Minced Meat,Parsley,Phyllo Dough,Sunflower Oil,Egg,Greek Yogurt,Soda Water,Salt;1 cup ,1 1/2 lbs ,1 cup ,1 lb ,5 tbsp ,3 large ,3/4 cup plain ,3/4 cup , Return the meat-onion mixture to skillet and add the parsley, ;1. In a large skillet, sauté the onion and minced meat over medium heat, until the meat is no longer pink and the onions are translucent. Drain in a colander. 2. Return the meat-onion mixture to skillet and add the parsley, Salt and Black Pepper to taste, and cook for 1 minute, mixing thoroughly. Remove from heat and let cool to room temperature. 3. Lightly coat a 9x13" pan with cooking spray. Separate the phyllo dough into two piles of roughly 10-14 sheets each, and keep covered so they don't dry out. 4. Place 2 sheets in the prepared pan and brush lightly with oil, folding in any overhanging edges. Repeat until you have used one pile of dough. 5. Spread the cooled mince meat mixture evenly over the phyllo, pushing up to the edges. Cover the meat with the remaining dough, repeating step 4. 6. Brush the entire top lightly with oil. Using a serrated knife, cut the burek all the way to the bottom into 12 squares. 7. In a medium bowl, mix the eggs with the yogurt and soda water. Pour over the burek, cover with plastic wrap, and refrigerate for 2 hours. 8. Preheat the oven to 350F. Remove the plastic wrap, and bake for ~50 minutes, or until golden brown. Cool slightly before serving. ;Yugoslav;112;3 hours and 30 minutes;recipe-book-main\Recipes\European\Yugoslav\Burek Sa Mesom.md
Chopforest;Cabbage,Salt,Kalamata Olives,Balsamic Vinegar,Lemon,Garlic,Olive Oil,Fennel,Scallions,Parsley,Black Pepper;1 lb ,Kosher ,1/4 cup ,1 tbsp ,1 1/2 tsp finely grated ,1 tsp pressed/grated ,3 tbsp extra-virgin ,1 medium ,4 medium ,1/3 cup chopped , In a large bowl, combine the olives, vinegar, lemon zest, garlic, and 1/2 tsp salt, season with ;1. In a colander or large strainer set over a medium bowl, toss the cabbage with 2 tsp salt. Let the cabbage rest until slightly wilted, at least 1 hour or up to 4 hours. 2. Rinse the cabbage well under very cold running water, drain thoroughly, and dry very well with a clean kitchen towel or paper towels. Scrape the cabbage into a large bowl and fluff it with your hands. > [!note]  > The cabbage can be covered and refrigerated for up to 3 days. 3. In a large bowl, combine the olives, vinegar, lemon zest, garlic, and 1/2 tsp salt, season with Black Pepper; and whisk to incorporate.  4. While whisking vigorously, add the olive oil in a slow, steady stream, to combine and emulsify into a dressing. 5. Add the cabbage, fennel bulb, scallions, and parsley to the bowl and toss to combine. Adjust the seasoning with additional salt and pepper, if necessary. 6. Sprinkle with fennel fronds before serving.  ;European;15;0;recipe-book-main\Recipes\European\Chopforest.md
Green Ice Rime;Oil,Milk,Gelatin,Granulated Sugar,Salt,Mint Extract,Vanilla Extract,Food Colouring;1/2 tsp ,4 1/2 cups ,3 tbsp ,1/3 cup ,1 pinch ,2 tsp ,1/4 tsp ,3 drops ;1. Using a paper towel, spread the oil in a square baking pan, coating the bottom and sides and leaving a slight film. 2. Pour 1/3 of the milk into a wide bowl, sprinkle the gelatin evenly over the surface and allow it to soften for about 10 minutes. 3. In a medium saucepan over medium heat, warm the remaining milk, the sugar, and the salt, stirring to dissolve the sugar. Remove from the heat, add the gelatin mixture, and whisk until the gelatin dissolves. Let cool for about 10 minutes. 4. Add the mint extract, vanilla, and food colouring, and stir to incorporate. Pour the mixture into the prepared baking dish and refrigerate until firm. (4 hours to 2 days) 5. When ready to serve, cut the gelatin into 2-inch squares and transfer to serving dish. ;European;14;±25 minutes work time, minimum 4 hours refrigerating time;recipe-book-main\Recipes\European\Green Ice Rime.md
Hot River Crab Bites;Crab Meat,Lemon,Salt,Black Pepper,Crème Fraîche,Chives,Endives;6 oz high-quality ,1 tbsp fresh ,1/2 tsp ,,1/4 cup ,1/3 cup finely chopped ,2 ;1. Blot the crabmeat dry with a paper towel, and pick over for shell fragments.  2. Transfer to a small bowl, and add the lemon juice and 1/4 tsp of salt; add pepper, and stir to incorporate.  3. Add the crème fraiche, lemon zest, the remaining 1/4 tsp salt, and most of the chives, and more pepper, and stir gently to mix. 4. Scoop about 1 tablespoon of the crab mixture into each of sixteen endive leaves, arrange them on a platter, and sprinkle with the remaining chives. 5. Serve immediately.  ;European;14;±10 minutes?;recipe-book-main\Recipes\European\Hot River Crab Bites.md
Kale with Mushrooms & Rice;Yellow Onion,Garlic,Button Mushrooms,Olive Oil,Thyme,Rice,Kale,Vegetable stock,Almonds,Black Pepper;2 medium ,2 cloves ,400g ,2 tbsp ,2 tsp ,300g ,150g ,1 ,50g , Sprinkle the rice dish with minced almonds, and add ;1. Finely dice the onions and the garlic. Slice the mushrooms. 2. Heat the oil in a pan on medium heat and fry the onions, garlic, mushrooms and thyme for 5 minutes. 3. Add the rice, kale, and water, and crumble the stock tablet. Bring to a boil, and simmer (with the lid on the pan) for 15 minutes. Stir regularly. 4. Meanwhile, dry heat a frying pan and roast the almonds golden brown. Let cool and finely mince. 5. Sprinkle the rice dish with minced almonds, and add Black Pepper to taste.  ;European;13;30 minutes;recipe-book-main\Recipes\European\Kale with Mushrooms & Rice.md
Rice Salad with Fennel, Spring Onion & Rocket;Rice,Raisins,Red Onion,Scallions,Fennel,Almonds,Parsley,Rocket,Apple Cider Vinegar,Salt;300g ,50g ,3 ,5 ,1 ,50g ,20g ,85g ,2 tbsp , Turn the heat down to low and let simmer for 10 minutes. Add ;1. Heat half of the oil in a pan and fry the red onions (and the white part of the spring onions) for 5 minutes on medium high heat. 2. Turn the heat down to low and let simmer for 10 minutes. Add Salt and Black Pepper to taste. 3. Halve the fennel and remove the hard core. Cut the bulb into very thin slices. 4. Roughly chop the almonds, cut the spring onion into thin rings and finely chop the parsley. 5. Mix the fried onion, fennel, rocket, vinegar, spring onion and the remaining oil into one large bowl.  6. Sprinkle with almonds and parsley. ;European;13;30 minutes;recipe-book-main\Recipes\European\Rice Salad with Fennel, Spring Onion & Rocket.md
Rothé Steak;Steak,Oil,Butter,Garlic,Thyme,Black Pepper;2 1-lb ,1 tbsp ,3 tbsp ,2 ,8 sprigs , Using paper towels, pat the steaks dry and generously season with salt and ;1. Using paper towels, pat the steaks dry and generously season with salt and Black Pepper on both sides and along the edges. Let rest at room temperature for an hour > [!note] Or refrigerate, loosely covered, for up to two days. Return to room temperature before continuing. 2. Set a cast-iron skillet over medium heat for 7 minutes. Adjust the heat to high, and add the oil, swirl to cover the bottom of the pan. 3. Add the steaks, and cook, flipping them every 30 seconds, until a pale golden crust begins to form on both sides: 3 to 4 minutes. 4. Adjust the heat to medium-high, slide the steaks to one side of the skillet, and add the butter to the other side, allowing it to melt. Then, add the garlic and the thyme. 5. Tilt the pan so that it pools the butter opposite the steaks. Use a spoon to baste the steaks in the butter/aromatics, focusing on less-crusted spots. 6. Continue until an instant-read meat thermometer reaches 120F (medium rare) or 130F (medium). 7. Transfer the steak to a cutting board and let rest for 10 minutes, preferably loosely covered in aluminium foil.  8. Slice before serving, and serve warm.  ;European;1;0;recipe-book-main\Recipes\European\Rothé Steak.md
Sornstag;Bread Crumbs,Olive Oil,Garlic,Almonds,Venison,Oil,Yellow Onion,Bay Leaves,Thyme,Cinnamon,Cloves,Red Wine,Chicken Broth,Cocoa Powder,Parsley,Black Pepper;1/4 cup fine ,2 tbsp extra-virgin ,4 ,1/2 cup slivered ,2 1/2 lbs ,±4 tsp ,2 large ,2 ,2 tsp minced ,1/2 tsp ,1/8 tsp ground ,3/4 cup ,3/4 cup ,1 tsp ,2/3 cup chopped , Sprinkle the venison all over with 1 1/2 tsp salt and 1 tsp ;1. Line a plate with paper towels. 2. In a large sauté pan, toast the breadcrumbs, stirring constantly, until fragrant and a shade darker, ± 3 minutes. Scrape the breadcrumbs into a small bowl, and carefully wipe out the pan. 3. Add the olive oil and whole garlic to the pan, return it to medium heat, and cook, undisturbed, for 1 minute. Add the almonds and cook, stirring constantly, until browned and fragrant, ± 1 minute.  > [!Warning] Be vigilant, as they can burn quickly! 4. With a slotted spoon, scoop the almonds and garlic and 1/3 cup of the almonds to the breadcrumbs, reserve the remaining almonds separately. Pour the oil from the pan into a small bowl and set aside. Carefully wipe out the pan. 5. Sprinkle the venison all over with 1 1/2 tsp salt and 1 tsp Black Pepper. Set the pan over medium-high heat, add 2 tsp of the neutral oil, and warm until shimmering. Add about 1/3 of the venison, so the pieces are close together in a single layer, but not touching, and cook, undisturbed, until well browned on the bottom, ±2 minutes. Turn the pieces and repeat.  6. Transfer the meat out of the pan, and repeat until all the meat is browned. 7. Set the sauté pan over medium heat, add the reserved olive oil, and allow it to warm for a moment. Add the onions, bay leaves, thyme, a pinch of salt, and cook, stirring and scraping the bottom of the pan to loosen any caramelized bits, until softened, ± 6 minutes.  8. Add the chicken broth to the sauté pan along with the venison, and stir to combine all of the ingredients present. Return to a strong simmer. 9. Cover the pan, reduce heat to medium-low to maintain a bare simmer, and let simmer for ±2 hours. 10. Scoop about 1/2 cup of the cooking liquid from the pan. Add the cocoa powder and stir until uniform, and pour back into the pan. Add 1/2 tsp of salt and pepper, and combine. 11. Scoop another 1/2 cup out of the pan and transfer to a blender. Add the breadcrumb-almond mixture and 1/4 cup parsley, and blend until smooth. Return mixture to pan, and combine thoroughly. 12. Partially cover the pan, occasionally stirring and scraping the bottom of the pan, and cook for another ±25 minutes. 13. Add the remaining parsley, adjust the seasoning as desired, and divide the sornstag. 14. Sprinkle each bowl with a few of the reserved toasted almonds and some parsley. Serve immediately  ;European;14;0;recipe-book-main\Recipes\European\Sornstag.md
Steak of the Deep;Olive Oil,Yellow Onion,Bay Leaves,Garlic,Paprika,Dry Sherry,Tomatoes,Swordfish Steak,Parsley,Salt;1/3 cup ,1 medium ,1 ,3 cloves ,1 1/2 tsp ,1/2 cup ,400g petite-diced ,700g ,1/4 cup , Add the sherry, adjust to medium high, and bring to a simmer. Let simmer for about a minute. Add the tomatoes and 3/4 tsp ;1. Warm the olive oil in a large sauté pan.  Add the onion, bay leaf, and 1/2 tsp salt and cook until the onion starts to soften (±3 minutes). Add the garlic and the paprika and cook until fragrant.  2. Add the sherry, adjust to medium high, and bring to a simmer. Let simmer for about a minute. Add the tomatoes and 3/4 tsp Salt and Black Pepper. Return to a simmer, and cook for 3 minutes. 3. Sprinkle the steak on both sides with salt and pepper and nestle it into the tomato mixture. Adjust the heat to low, cover, and cook until it is opaque, firm to the touch, and registers 55°C on a thermometer (±25 minutes), turning it over halfway. Transfer to a serving platter. Tent loosely with aluminium foil and let rest for about 5 minutes. 4. Meanwhile, adjust the heat to medium high and bring the sauce to a simmer. Add most of the parsley and the remaining sherry, and stir to blend. 5. Top the steak with the tomato sauce, drizzle with olive oil, *and garnish with the remaining parsley*. ;European;14;0;recipe-book-main\Recipes\European\Steak of the Deep.md
Stuffed Mushrooms;Button Mushrooms,Shallots,Garlic,Olive Oil,Cheese,Parsley,Chives,Lemon,Bread Crumbs;12 large ,2 ,1 clove ,4 tbsp ,250g ,7.5g ,12.5g ,1 ,5 tbsp ;1. Remove the stems from the mushrooms, and finely cut the stems along with the shallots and garlic. 2. Heat half of the olive oil in a pan on medium high heat. Fruit the shallots for 4 minutes. Add the garlic, and fry for another 3 minutes. When the shallots are glassier, add the mushroom stems and fry for 3 minutes. Remove the pan from heat. 3. Stir the ricotta loose in a bowl, and finely cut the parsley and the chives. Add 3/4 of the herbs to the ricotta and mix finely. 4. Zest and juice the lemon, and add to the ricotta mixture, along with the shallot mixture. 5. Preheat the oven to 200°C.  6. Fill the mushroom caps with the ricotta-shallot mixture and put them on a parchment-lined baking tray. Sprinkle with bread crumbs, and bake in the oven for 15 minutes. 7. Garnish with the remaining herbs.  ;European;13;~30 minutes;recipe-book-main\Recipes\European\Stuffed Mushrooms.md
Bacon Mac & Cheese Burger Wrap;Minced Meat,Bacon,Macaroni,Cheese,Tortilla,Lettuce;1 lb ,1/2 cup ,2 cups ,1 cup ,4 ,*;1. Brown the ground beef in a skillet, fry the bacon, and drain the fat. 2. Combine the beef, bacon bits, cooked macaroni, and cheddar cheese. 3. Place the combined filling onto the tortillas. *Add lettuce if desired* ;Fusion;14;20 minutes;recipe-book-main\Recipes\Fusion\Bacon Mac & Cheese Burger Wrap.md
Chinese Cabbage Potpie;Potato,Yellow Onion,Parsley,Olive Oil,Bacon,Vinegar,Chinese Cabbage,Five Spices blend,Milk;1kg ,2 medium ,15g ,4 tbsp ,200g ,2 tbsp ,1 ,2 tsp ,75ml ;1. Peel the potatoes, cut them into equal pieces, and cook them for ~20 minutes. 2. Cut the onions into half-rings, and finely slice the parsley, taking care to separate the leaves and the stems. 3. Heat half of the oil in a pan on medium heat and fry the bacon, onion, and parsley stems for 8 minutes. Lower the heat, and add the water and vinegar. Cook for 10 minutes. > [!note] *If making this vegetarian, substitute the bacon bits for a vegetable stock cube.* 4. Halve the cabbage lengthwise, and then cut into ~2cm strips, widthwise. 5. Heat the rest of the oil in another pan on high heat, and fry the cabbage for ~7 minutes. After 5 minutes, add the five spices. 6. Drain the potatoes, add the milk and a little bit more olive oil. Mash into a puree. Add the cabbage. 7. Serve hot with the gravy made in step 3 and the parsley leaves from step 2 as garnish.  ;Fusion;14;1 hour;recipe-book-main\Recipes\Fusion\Chinese Cabbage Potpie.md
Duergar Smoked Herring;Oil,Yellow Onion,Bell Pepper,Bell pepper,Habanero,Tomato Paste,Thyme,Garlic,Tomatoes,Herring,Scallions,Lime Juice,Salt,Black Pepper;1 1/2 tbsp ,1 medium ,1 red ,1 green ,1 ,1 tbsp ,2 tsp ,1 tsp ,4 ,10 oz ,6 ,1 tbsp , In a large skillet over medium heat, warm the oil until shimmering. Add the onion, bell peppers, habanero, and a pinch of , Add the herring and cook until heated through, for about 3 minutes. Incorporate the scallions and lime juice, and season with ;1. In a large skillet over medium heat, warm the oil until shimmering. Add the onion, bell peppers, habanero, and a pinch of Salt, and cook until softened for ±5 minutes.  2. Add the tomato paste and cook until fragrant and a shade darker, ±1 1/2 minutes. Add the thyme and garlic and cook for another 40 seconds. Add the tomatoes, and cook until softened (±3 minutes).  3. Add the herring and cook until heated through, for about 3 minutes. Incorporate the scallions and lime juice, and season with Black Pepper to taste. ;Fusion;14;0;recipe-book-main\Recipes\Fusion\Duergar Smoked Herring.md
